ds,yhat,yhat_lower,yhat_upper,drug_id,drug_name
2021-01-04,103.27278063698736,85.57733144357888,121.96515364016024,DRG001,Lisinopril
2021-01-11,103.60142021473419,86.18632548592883,121.22706418672419,DRG001,Lisinopril
2021-01-18,100.16397123425152,82.04037953892218,115.45857189017039,DRG001,Lisinopril
2021-01-25,102.59545754979638,84.87383477113,119.8528731831329,DRG001,Lisinopril
2021-02-08,99.65173285754868,81.34117114985209,117.68462063531753,DRG001,Lisinopril
2021-02-15,92.10721239868442,73.85928977320744,109.34939173110476,DRG001,Lisinopril
2021-02-22,86.4201641805006,69.41751630042165,103.51977008118563,DRG001,Lisinopril
2021-03-08,85.88612685264253,68.26282918789315,102.80073862357828,DRG001,Lisinopril
2021-03-15,81.9947339672551,63.16571117189671,98.898654056385,DRG001,Lisinopril
2021-03-22,83.85732518491996,67.45852414445461,101.03232172214838,DRG001,Lisinopril
2021-04-05,91.20968833356241,73.84521391644832,108.45794627686605,DRG001,Lisinopril
2021-04-12,91.68059619431419,74.27301054716571,109.27112303125567,DRG001,Lisinopril
2021-04-19,93.8449497480442,75.68262620527513,111.05647129559,DRG001,Lisinopril
2021-05-03,88.8507146103421,71.38152800563385,106.17911542627922,DRG001,Lisinopril
2021-05-10,92.56001953338053,73.65973906866107,111.24563225660707,DRG001,Lisinopril
2021-05-17,97.21693905385168,79.0288881361053,114.55068670671264,DRG001,Lisinopril
2021-06-07,93.76884609029483,76.76802532743382,111.5852801120348,DRG001,Lisinopril
2021-06-14,92.10618509607222,76.7927836725394,110.03477898046718,DRG001,Lisinopril
2021-06-21,93.23794417077396,74.57118134399106,109.15722438823649,DRG001,Lisinopril
2021-06-28,95.0378411660691,77.29931820713354,112.1541629181309,DRG001,Lisinopril
2021-07-05,95.03465336394115,77.6011501095608,111.77625486681346,DRG001,Lisinopril
2021-07-12,96.3683550974718,79.28117047158564,113.56891787957572,DRG001,Lisinopril
2021-07-19,99.91562412999451,82.5367115082525,117.17377130950403,DRG001,Lisinopril
2021-07-26,101.15963971037237,83.67117188459031,117.58782316630618,DRG001,Lisinopril
2021-08-02,105.71470877354788,87.27789572689326,122.93497223804144,DRG001,Lisinopril
2021-08-09,107.19388829053555,89.10932622428534,125.51346856185461,DRG001,Lisinopril
2021-08-16,102.94589449121091,86.78376936103592,120.66827492015953,DRG001,Lisinopril
2021-08-23,100.25189654306796,84.19745904991656,117.38685646074823,DRG001,Lisinopril
2021-08-30,103.68428336091438,85.09829827307851,120.37987886369987,DRG001,Lisinopril
2021-09-06,105.61521875264096,87.50252035015423,122.54460623746085,DRG001,Lisinopril
2021-09-13,109.13624767167966,91.85059000240712,126.15503922875637,DRG001,Lisinopril
2021-09-20,105.79306290603887,88.42299880493945,124.48526291074629,DRG001,Lisinopril
2021-09-27,105.63523186149742,87.68557474832964,122.88876492614938,DRG001,Lisinopril
2021-10-11,100.91826658850151,83.79646064666112,119.18035030222518,DRG001,Lisinopril
2021-10-18,102.69989216842194,84.14006163947853,119.22741573103791,DRG001,Lisinopril
2021-11-08,105.4628578786729,88.18332859615427,121.79345501607241,DRG001,Lisinopril
2021-11-15,107.87310261353227,90.28531751786679,125.92916010135326,DRG001,Lisinopril
2021-11-22,103.9149866877023,86.80472173611496,120.87497735260759,DRG001,Lisinopril
2021-11-29,94.28937059010939,77.44534982544805,112.27603717846408,DRG001,Lisinopril
2021-12-06,88.75159698514268,71.75887089559323,107.60243342560508,DRG001,Lisinopril
2021-12-13,88.32758625833598,70.66089462790852,106.60134426550508,DRG001,Lisinopril
2021-12-27,98.88321439561808,82.78710743890487,117.60913313820191,DRG001,Lisinopril
2022-01-03,105.69970858248442,88.53550190098471,123.51311049976461,DRG001,Lisinopril
